"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"1-4 years"	"1-4"	"2018"	"2018"	3830	15962067	24.0
"Total"	"1-4 years"	"1-4"			89611	317210466	28.2
	"5-14 years"	"5-14"	"1999"	"1999"	7595	40819824	18.6
	"5-14 years"	"5-14"	"2000"	"2000"	7413	41077577	18.0
	"5-14 years"	"5-14"	"2001"	"2001"	7095	41152040	17.2
	"5-14 years"	"5-14"	"2002"	"2002"	7150	41133838	17.4
	"5-14 years"	"5-14"	"2003"	"2003"	6954	41036204	16.9
	"5-14 years"	"5-14"	"2004"	"2004"	6834	40865917	16.7
	"5-14 years"	"5-14"	"2005"	"2005"	6602	40601646	16.3
	"5-14 years"	"5-14"	"2006"	"2006"	6149	40577826	15.2
	"5-14 years"	"5-14"	"2007"	"2007"	6147	40555653	15.2
	"5-14 years"	"5-14"	"2008"	"2008"	5651	40636257	13.9
	"5-14 years"	"5-14"	"2009"	"2009"	5651	40843063	13.8
	"5-14 years"	"5-14"	"2010"	"2010"	5279	41025851	12.9
	"5-14 years"	"5-14"	"2011"	"2011"	5401	41039048	13.2
	"5-14 years"	"5-14"	"2012"	"2012"	5200	41144754	12.6
	"5-14 years"	"5-14"	"2013"	"2013"	5340	41221035	13.0
	"5-14 years"	"5-14"	"2014"	"2014"	5250	41191072	12.7
	"5-14 years"	"5-14"	"2015"	"2015"	5411	41109506	13.2
	"5-14 years"	"5-14"	"2016"	"2016"	5503	41048032	13.4
	"5-14 years"	"5-14"	"2017"	"2017"	5571	41082692	13.6
	"5-14 years"	"5-14"	"2018"	"2018"	5450	41075169	13.3
"Total"	"5-14 years"	"5-14"			121646	819237004	14.8
	"15-24 years"	"15-24"	"1999"	"1999"	30656	38676031	79.3
	"15-24 years"	"15-24"	"2000"	"2000"	31307	39183891	79.9
	"15-24 years"	"15-24"	"2001"	"2001"	32252	40213570	80.2
	"15-24 years"	"15-24"	"2002"	"2002"	33046	40854135	80.9
	"15-24 years"	"15-24"	"2003"	"2003"	33568	41388854	81.1
	"15-24 years"	"15-24"	"2004"	"2004"	33421	41948112	79.7
	"15-24 years"	"15-24"	"2005"	"2005"	34234	42446169	80.7
	"15-24 years"	"15-24"	"2006"	"2006"	34887	42843844	81.4
	"15-24 years"	"15-24"	"2007"	"2007"	33982	43145815	78.8
	"15-24 years"	"15-24"	"2008"	"2008"	32198	43391492	74.2
	"15-24 years"	"15-24"	"2009"	"2009"	30416	43576932	69.8
	"15-24 years"	"15-24"	"2010"	"2010"	29551	43626342	67.7
	"15-24 years"	"15-24"	"2011"	"2011"	29667	43797875	67.7
	"15-24 years"	"15-24"	"2012"	"2012"	29182	43943905	66.4
	"15-24 years"	"15-24"	"2013"	"2013"	28486	43954402	64.8
	"15-24 years"	"15-24"	"2014"	"2014"	28791	43979821	65.5
	"15-24 years"	"15-24"	"2015"	"2015"	30494	43848216	69.5
	"15-24 years"	"15-24"	"2016"	"2016"	32575	43511027	74.9
	"15-24 years"	"15-24"	"2017"	"2017"	32025	43250295	74.0
	"15-24 years"	"15-24"	"2018"	"2018"	30154	42970800	70.2
"Total"	"15-24 years"	"15-24"			630892	850551528	74.2
	"25-34 years"	"25-34"	"1999"	"1999"	41066	40178406	102.2
	"25-34 years"	"25-34"	"2000"	"2000"	40451	39891724	101.4
	"25-34 years"	"25-34"	"2001"	"2001"	41683	39471522	105.6
	"25-34 years"	"25-34"	"2002"	"2002"	41355	39349646	105.1
	"25-34 years"	"25-34"	"2003"	"2003"	41300	39243795	105.2
	"25-34 years"	"25-34"	"2004"	"2004"	40868	39266556	104.1
	"25-34 years"	"25-34"	"2005"	"2005"	41925	39258647	106.8
	"25-34 years"	"25-34"	"2006"	"2006"	42952	39395179	109.0
	"25-34 years"	"25-34"	"2007"	"2007"	42572	39713463	107.2
	"25-34 years"	"25-34"	"2008"	"2008"	42275	40207473	105.1
	"25-34 years"	"25-34"	"2009"	"2009"	42502	40723342	104.4
	"25-34 years"	"25-34"	"2010"	"2010"	42259	41063948	102.9
	"25-34 years"	"25-34"	"2011"	"2011"	43748	41790498	104.7
	"25-34 years"	"25-34"	"2012"	"2012"	44591	42309321	105.4
	"25-34 years"	"25-34"	"2013"	"2013"	45463	42844587	106.1
	"25-34 years"	"25-34"	"2014"	"2014"	47177	43516504	108.4
	"25-34 years"	"25-34"	"2015"	"2015"	51517	44137202	116.7
	"25-34 years"	"25-34"	"2016"	"2016"	57616	44677243	129.0
	"25-34 years"	"25-34"	"2017"	"2017"	60215	45342672	132.8
	"25-34 years"	"25-34"	"2018"	"2018"	58844	45697774	128.8
"Total"	"25-34 years"	"25-34"			910379	828079502	109.9
	"35-44 years"	"35-44"	"1999"	"1999"	89256	45076677	198.0
	"35-44 years"	"35-44"	"2000"	"2000"	89798	45148527	198.9
	"35-44 years"	"35-44"	"2001"	"2001"	91674	45051752	203.5
	"35-44 years"	"35-44"	"2002"	"2002"	91140	44640649	204.2
	"35-44 years"	"35-44"	"2003"	"2003"	89461	44154206	202.6
	"35-44 years"	"35-44"	"2004"	"2004"	85362	43800275	194.9
	"35-44 years"	"35-44"	"2005"	"2005"	84785	43505538	194.9
	"35-44 years"	"35-44"	"2006"	"2006"	83043	43243801	192.0
	"35-44 years"	"35-44"	"2007"	"2007"	79606	42796230	186.0
	"35-44 years"	"35-44"	"2008"	"2008"	76370	42192486	181.0
	"35-44 years"	"35-44"	"2009"	"2009"	74665	41487811	180.0
	"35-44 years"	"35-44"	"2010"	"2010"	70033	41070606	170.5
	"35-44 years"	"35-44"	"2011"	"2011"	69893	40627954	172.0
	"35-44 years"	"35-44"	"2012"	"2012"	69162	40516420	170.7
	"35-44 years"	"35-44"	"2013"	"2013"	69573	40452690	172.0
	"35-44 years"	"35-44"	"2014"	"2014"	70996	40513133	175.2
	"35-44 years"	"35-44"	"2015"	"2015"	73088	40589783	180.1
	"35-44 years"	"35-44"	"2016"	"2016"	77792	40470156	192.2
	"35-44 years"	"35-44"	"2017"	"2017"	79796	40875370	195.2
	"35-44 years"	"35-44"	"2018"	"2018"	80380	41277888	194.7
"Total"	"35-44 years"	"35-44"			1595873	847491952	188.3
	"45-54 years"	"45-54"	"1999"	"1999"	152974	36577819	418.2
	"45-54 years"	"45-54"	"2000"	"2000"	160341	37677952	425.6
	"45-54 years"	"45-54"	"2001"	"2001"	168065	39386268	426.7
	"45-54 years"	"45-54"	"2002"	"2002"	172385	39992194	431.0
	"45-54 years"	"45-54"	"2003"	"2003"	176781	40819954	433.1
	"45-54 years"	"45-54"	"2004"	"2004"	177697	41629930	426.8
	"45-54 years"	"45-54"	"2005"	"2005"	183530	42495904	431.9
	"45-54 years"	"45-54"	"2006"	"2006"	185031	43286159	427.5
	"45-54 years"	"45-54"	"2007"	"2007"	184686	43939939	420.3
	"45-54 years"	"45-54"	"2008"	"2008"	186542	44460447	419.6
	"45-54 years"	"45-54"	"2009"	"2009"	187568	44867088	418.1
	"45-54 years"	"45-54"	"2010"	"2010"	183207	45006716	407.1
	"45-54 years"	"45-54"	"2011"	"2011"	183247	44718203	409.8
	"45-54 years"	"45-54"	"2012"	"2012"	179463	44268738	405.4
	"45-54 years"	"45-54"	"2013"	"2013"	177724	43767532	406.1
	"45-54 years"	"45-54"	"2014"	"2014"	175917	43458851	404.8
	"45-54 years"	"45-54"	"2015"	"2015"	174494	43188161	404.0
	"45-54 years"	"45-54"	"2016"	"2016"	173516	42786679	405.5
	"45-54 years"	"45-54"	"2017"	"2017"	170142	42374952	401.5
	"45-54 years"	"45-54"	"2018"	"2018"	164837	41631699	395.9
"Total"	"45-54 years"	"45-54"			3518147	846335185	415.7
	"55-64 years"	"55-64"	"1999"	"1999"	238979	23778026	1005.0
	"55-64 years"	"55-64"	"2000"	"2000"	240846	24274684	992.2
	"55-64 years"	"55-64"	"2001"	"2001"	244139	25105295	972.5
	"55-64 years"	"55-64"	"2002"	"2002"	253342	26703332	948.7
	"55-64 years"	"55-64"	"2003"	"2003"	262519	28008945	937.3
	"55-64 years"	"55-64"	"2004"	"2004"	264697	29305304	903.2
	"55-64 years"	"55-64"	"2005"	"2005"	275301	30641497	898.5
	"55-64 years"	"55-64"	"2006"	"2006"	281401	31930113	881.3
	"55-64 years"	"55-64"	"2007"	"2007"	287110	33128434	866.7
	"55-64 years"	"55-64"	"2008"	"2008"	296182	34157063	867.1
	"55-64 years"	"55-64"	"2009"	"2009"	303307	35405600	856.7
	"55-64 years"	"55-64"	"2010"	"2010"	310802	36482729	851.9
	"55-64 years"	"55-64"	"2011"	"2011"	323315	38062140	849.4
	"55-64 years"	"55-64"	"2012"	"2012"	329606	38586202	854.2
	"55-64 years"	"55-64"	"2013"	"2013"	338127	39316431	860.0
	"55-64 years"	"55-64"	"2014"	"2014"	348808	40077581	870.3
	"55-64 years"	"55-64"	"2015"	"2015"	357785	40877819	875.3
	"55-64 years"	"55-64"	"2016"	"2016"	366445	41463144	883.8
	"55-64 years"	"55-64"	"2017"	"2017"	372006	41995658	885.8
	"55-64 years"	"55-64"	"2018"	"2018"	374836	42272636	886.7
"Total"	"55-64 years"	"55-64"			6069553	681572633	890.5
	"65-74 years"	"65-74"	"1999"	"1999"	452600	18418909	2457.3
	"65-74 years"	"65-74"	"2000"	"2000"	441209	18390986	2399.1
	"65-74 years"	"65-74"	"2001"	"2001"	430960	18384179	2344.2
	"65-74 years"	"65-74"	"2002"	"2002"	422990	18388535	2300.3
	"65-74 years"	"65-74"	"2003"	"2003"	413497	18500915	2235.0
	"65-74 years"	"65-74"	"2004"	"2004"	399666	18667533	2141.0
	"65-74 years"	"65-74"	"2005"	"2005"	398355	18881697	2109.7
	"65-74 years"	"65-74"	"2006"	"2006"	390093	19203027	2031.4
	"65-74 years"	"65-74"	"2007"	"2007"	389238	19698727	1976.0
	"65-74 years"	"65-74"	"2008"	"2008"	401579	20505679	1958.4
	"65-74 years"	"65-74"	"2009"	"2009"	401032	21233099	1888.7
	"65-74 years"	"65-74"	"2010"	"2010"	407151	21713429	1875.1
	"65-74 years"	"65-74"	"2011"	"2011"	415052	22481738	1846.2
	"65-74 years"	"65-74"	"2012"	"2012"	432346	23985392	1802.5
	"65-74 years"	"65-74"	"2013"	"2013"	454429	25216766	1802.1
	"65-74 years"	"65-74"	"2014"	"2014"	471541	26398290	1786.3
	"65-74 years"	"65-74"	"2015"	"2015"	495016	27550517	1796.8
	"65-74 years"	"65-74"	"2016"	"2016"	512080	28630330	1788.6
	"65-74 years"	"65-74"	"2017"	"2017"	531610	29683446	1790.9
	"65-74 years"	"65-74"	"2018"	"2018"	543778	30492316	1783.3
"Total"	"65-74 years"	"65-74"			8804222	446425510	1972.2
	"75-84 years"	"75-84"	"1999"	"1999"	698590	12224914	5714.5
	"75-84 years"	"75-84"	"2000"	"2000"	700445	12361180	5666.5
	"75-84 years"	"75-84"	"2001"	"2001"	701929	12593618	5573.7
	"75-84 years"	"75-84"	"2002"	"2002"	707654	12764864	5543.8
	"75-84 years"	"75-84"	"2003"	"2003"	703024	12896438	5451.3
	"75-84 years"	"75-84"	"2004"	"2004"	684230	12989903	5267.4
	"75-84 years"	"75-84"	"2005"	"2005"	686665	13074802	5251.8
	"75-84 years"	"75-84"	"2006"	"2006"	667338	13095151	5096.1
	"75-84 years"	"75-84"	"2007"	"2007"	652682	13087439	4987.1
	"75-84 years"	"75-84"	"2008"	"2008"	653560	13076102	4998.1
	"75-84 years"	"75-84"	"2009"	"2009"	627727	13022775	4820.2
	"75-84 years"	"75-84"	"2010"	"2010"	625651	13061122	4790.2
	"75-84 years"	"75-84"	"2011"	"2011"	626225	13175230	4753.0
	"75-84 years"	"75-84"	"2012"	"2012"	620428	13272634	4674.5
	"75-84 years"	"75-84"	"2013"	"2013"	625013	13446519	4648.1
	"75-84 years"	"75-84"	"2014"	"2014"	624504	13682690	4564.2
	"75-84 years"	"75-84"	"2015"	"2015"	637566	13923174	4579.2
	"75-84 years"	"75-84"	"2016"	"2016"	636916	14233534	4474.8
	"75-84 years"	"75-84"	"2017"	"2017"	657759	14706551	4472.6
	"75-84 years"	"75-84"	"2018"	"2018"	675205	15394374	4386.1
"Total"	"75-84 years"	"75-84"			13213111	266083014	4965.8
	"85+ years"	"85+"	"1999"	"1999"	646141	4154018	15554.6
	"85+ years"	"85+"	"2000"	"2000"	658171	4239587	15524.4
	"85+ years"	"85+"	"2001"	"2001"	665531	4312494	15432.6
	"85+ years"	"85+"	"2002"	"2002"	681076	4368808	15589.5
	"85+ years"	"85+"	"2003"	"2003"	687852	4466176	15401.4
	"85+ years"	"85+"	"2004"	"2004"	671773	4545883	14777.6
	"85+ years"	"85+"	"2005"	"2005"	703169	4693299	14982.4
	"85+ years"	"85+"	"2006"	"2006"	701992	4865929	14426.7
	"85+ years"	"85+"	"2007"	"2007"	713647	5039545	14160.9
	"85+ years"	"85+"	"2008"	"2008"	744691	5195840	14332.4
	"85+ years"	"85+"	"2009"	"2009"	733178	5367301	13660.1
	"85+ years"	"85+"	"2010"	"2010"	765474	5493433	13934.3
	"85+ years"	"85+"	"2011"	"2011"	790545	5737173	13779.3
	"85+ years"	"85+"	"2012"	"2012"	805307	5887330	13678.6
	"85+ years"	"85+"	"2013"	"2013"	825198	6040789	13660.4
	"85+ years"	"85+"	"2014"	"2014"	826226	6162231	13407.9
	"85+ years"	"85+"	"2015"	"2015"	859701	6287161	13673.9
	"85+ years"	"85+"	"2016"	"2016"	854462	6380331	13392.1
	"85+ years"	"85+"	"2017"	"2017"	878035	6468682	13573.6
	"85+ years"	"85+"	"2018"	"2018"	880280	6544503	13450.7
"Total"	"85+ years"	"85+"			15092449	106250513	14204.6
	"Not Stated"	"NS"	"1999"	"1999"	356	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"2000"	"2000"	356	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"2001"	"2001"	422	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"2002"	"2002"	357	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"2003"	"2003"	342	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"2004"	"2004"	346	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"2005"	"2005"	255	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"2006"	"2006"	220	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"2007"	"2007"	201	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"2008"	"2008"	147	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"2009"	"2009"	255	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"2010"	"2010"	126	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"2011"	"2011"	134	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"2012"	"2012"	147	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"2013"	"2013"	132	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"2014"	"2014"	163	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"2015"	"2015"	138	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"2016"	"2016"	137	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"2017"	"2017"	129	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"2018"	"2018"	144	Not Applicable	Not Applicable
"Total"	"Not Stated"	"NS"			4507	Not Applicable	Not Applicable
"Total"					50567774	6088633001	830.5
"---"
"Dataset: Underlying Cause of Death, 1999-2018"
"Query Parameters:"
"Group By: Ten-Year Age Groups; Year"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd.html for more information."
"---"
"Query Date: Mar 6, 2020 11:33:23 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Underlying Cause of Death"
"1999-2018 on CDC WONDER Online Database, released in 2020. Data are from the Multiple Cause of Death Files, 1999-2018, as"
"compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed"
"at http://wonder.cdc.gov/ucd-icd10.html on Mar 6, 2020 11:33:23 AM"
"---"
Caveats:
"1. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#2014-Revision."
"2. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Not Stated."
"3. The population figures for year 2018 are bridged-race estimates of the July 1 resident population, from the Vintage 2018"
"postcensal series released by NCHS on June 25, 2019. The population figures for year 2017 are bridged-race estimates of the July"
"1 resident population, from the Vintage 2017 postcensal series released by NCHS on June 27, 2018. The population figures for"
"year 2016 are bridged-race estimates of the July 1 resident population, from the Vintage 2016 postcensal series released by NCHS"
"on June 26, 2017. The population figures for year 2015 are bridged-race estimates of the July 1 resident population, from the"
"Vintage 2015 postcensal series released by NCHS on June 28, 2016. The population figures for year 2014 are bridged-race"
"estimates of the July 1 resident population, from the Vintage 2014 postcensal series released by NCHS on June 30, 2015. The"
"population figures for year 2013 are bridged-race estimates of the July 1 resident population, from the Vintage 2013 postcensal"
"series released by NCHS on June 26, 2014. The population figures for year 2012 are bridged-race estimates of the July 1 resident"
"population, from the Vintage 2012 postcensal series released by NCHS on June 13, 2013. The population figures for year 2011 are"
"bridged-race estimates of the July 1 resident population, from the Vintage 2011 postcensal series released by NCHS on July 18,"
"2012. Population figures for 2010 are April 1 Census counts. The population figures for years 2001 - 2009 are bridged-race"
"estimates of the July 1 resident population, from the revised intercensal county-level 2000 - 2009 series released by NCHS on"
"October 26, 2012. Population figures for 2000 are April 1 Census counts. Population figures for 1999 are from the 1990-1999"
"intercensal series of July 1 estimates. Population figures for the infant age groups are the number of live births."
"<br/><b>Note:</b> Rates and population figures for years 2001 - 2009 differ slightly from previously published reports, due to"
"use of the population estimates which were available at the time of release."
"4. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/ucd.html#Age Group."
